Name,Family,Infraorder,Suborder,Order,Taxon Size,Diet,Max MYA,Min MYA,Lifespan (MYA),Early Age,Late Age,Early Period,Late Period,Avialae
Kulindadromeus,,,Neornithischia,Ornithischia,1,Herbivore,168.2,145.0,23.19999999999999,Bathonian,Tithonian,Middle Jurassic,Upper Jurassic,False
Minimocursor,,,Neornithischia,Ornithischia,1,Herbivore,149.2,139.8,9.399999999999977,Tithonian,Berriasian,Upper Jurassic,Lower Cretaceous,False
Sanxiasaurus,,,Neornithischia,Ornithischia,1,Herbivore,184.2,170.9,13.299999999999983,Toarcian,Aalenian,Lower Jurassic,Middle Jurassic,False
Yandusaurus,,,Neornithischia,Ornithischia,1,Herbivore,170.9,168.2,2.700000000000017,Bajocian,Bajocian,Middle Jurassic,Middle Jurassic,False
Gongbusaurus,,,Neornithischia,Ornithischia,2,Herbivore,168.2,154.8,13.399999999999977,Bathonian,Oxfordian,Middle Jurassic,Upper Jurassic,False
Xiaosaurus,,,Neornithischia,Ornithischia,1,Herbivore,170.9,154.8,16.099999999999994,Bajocian,Oxfordian,Middle Jurassic,Upper Jurassic,False
Abrictosaurus,Heterodontosauridae,,,Ornithischia,1,Herbivore,201.4,192.9,8.5,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,False
Fruitadens,Heterodontosauridae,,,Ornithischia,1,Herbivore,149.2,145.0,4.199999999999989,Tithonian,Tithonian,Upper Jurassic,Upper Jurassic,False
Heterodontosaurus,Heterodontosauridae,,,Ornithischia,1,Herbivore,201.4,184.2,17.200000000000017,Hettangian,Pliensbachian,Lower Jurassic,Lower Jurassic,False
Lycorhinus,Heterodontosauridae,,,Ornithischia,2,Herbivore,201.4,184.2,17.200000000000017,Hettangian,Pliensbachian,Lower Jurassic,Lower Jurassic,False
Echinodon,Heterodontosauridae,,,Ornithischia,1,Herbivore,152.2,139.8,12.399999999999977,Kimmeridgian,Berriasian,Upper Jurassic,Lower Cretaceous,False
Manidens,Heterodontosauridae,,,Ornithischia,1,Herbivore,182.9,174.7,8.200000000000017,Toarcian,Toarcian,Lower Jurassic,Lower Jurassic,False
Pegomastax,Heterodontosauridae,,,Ornithischia,1,Herbivore,201.4,192.9,8.5,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,False
Chilesaurus,,,,,1,Herbivore,149.2,145.0,4.199999999999989,Tithonian,Tithonian,Upper Jurassic,Upper Jurassic,False
Ferganocephale,,,,Ornithischia,1,Herbivore,165.3,161.5,3.8000000000000114,Callovian,Callovian,Middle Jurassic,Middle Jurassic,False
Krzyzanowskisaurus,,,,,1,Herbivore,237.0,208.5,28.5,Carnian,Norian,Upper Triassic,Upper Triassic,False
Laquintasaura,,,,Ornithischia,1,Herbivore,201.4,199.5,1.9000000000000057,Hettangian,Hettangian,Lower Jurassic,Lower Jurassic,False
Lesothosaurus,,,,Ornithischia,1,Herbivore,201.4,192.9,8.5,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,False
Pisanosaurus,,,,Ornithischia,1,Herbivore,237.0,227.0,10.0,Carnian,Carnian,Upper Triassic,Upper Triassic,False
Actiosaurus,,,,,1,Herbivore,208.5,201.4,7.099999999999994,Rhaetian,Rhaetian,Upper Triassic,Upper Triassic,False
Gyposaurus,,,Sauropodomorpha,Saurischia,1,Herbivore,201.4,174.7,26.700000000000017,Hettangian,Toarcian,Lower Jurassic,Lower Jurassic,False
Gresslyosaurus,Plateosauridae,Prosauropoda,Sauropodomorpha,Saurischia,1,Herbivore,227.0,201.4,25.599999999999994,Norian,Rhaetian,Upper Triassic,Upper Triassic,False
