Name,Genus,Parent Taxon,Family,Order,Class,Number of Occurrences,First Appearance (MYA),Last Appearance (MYA),Early Interval,Late Interval,Era
Ganzhousaurus nankangensis,Ganzhousaurus,Heyuanninae,Oviraptoridae,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Heyuannia huangi,Heyuannia,Heyuanninae,Oviraptoridae,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Heyuannia yanshini,Heyuannia,Heyuanninae,Oviraptoridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Jiangxisaurus ganzhouensis,Jiangxisaurus,Heyuanninae,Oviraptoridae,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Khaan mckennai,Khaan,Heyuanninae,Oviraptoridae,Theropoda,Reptilia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Machairasaurus leptonychus,Machairasaurus,Heyuanninae,Oviraptoridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Nemegtomaia barsboldi,Nemegtomaia,Heyuanninae,Oviraptoridae,Theropoda,Reptilia,3,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Oksoko avarsan,Oksoko,Heyuanninae,Oviraptoridae,Theropoda,Reptilia,3,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Shixinggia oblita,Shixinggia,Heyuanninae,Oviraptoridae,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Gobiraptor minutus,Gobiraptor,Oviraptoridae,Oviraptoridae,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Luoyanggia liudianensis,Luoyanggia,Oviraptoridae,Oviraptoridae,Theropoda,Reptilia,1,121.4,100.5,Aptian,Albian,Cretaceous
Nankangia jiangxiensis,Nankangia,Oviraptoridae,Oviraptoridae,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Oviraptor philoceratops,Oviraptor,Oviraptoridae,Oviraptoridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Yulong mini,Yulong,Oviraptoridae,Oviraptoridae,Theropoda,Reptilia,2,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Avimimus nemegtensis,Avimimus,Oviraptorosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Avimimus portentosus,Avimimus,Oviraptorosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,5,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Caudipteryx dongi,Caudipteryx,Oviraptorosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Caudipteryx zoui,Caudipteryx,Oviraptorosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Incisivosaurus gauthieri,Incisivosaurus,Oviraptorosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Ningyuansaurus wangi,Ningyuansaurus,Oviraptorosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Protarchaeopteryx robusta,Protarchaeopteryx,Oviraptorosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Saurexallopus zerbsti,Saurexallopus,Oviraptorosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Ambopteryx longibrachium,Ambopteryx,Scansoriopterygidae,Scansoriopterygidae,Theropoda,Reptilia,1,161.5,145.0,Oxfordian,Tithonian,Jurassic
Scansoriopteryx heilmanni,Scansoriopteryx,Scansoriopterygidae,Scansoriopterygidae,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Yi qi,Yi,Scansoriopterygidae,Scansoriopterygidae,Theropoda,Reptilia,1,165.3,154.8,Callovian,Oxfordian,Jurassic
Migmanychion laiyang,Migmanychion,Maniraptora,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,119.5,Aptian,Aptian,Cretaceous
Yixianosaurus longimanus,Yixianosaurus,Maniraptora,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Deinocheirus mirificus,Deinocheirus,Deinocheiridae,Deinocheiridae,Theropoda,Reptilia,3,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Garudimimus brevipes,Garudimimus,Deinocheiridae,Deinocheiridae,Theropoda,Reptilia,1,100.5,83.6,Cenomanian,Santonian,Cretaceous
Harpymimus okladnikovi,Harpymimus,Deinocheiridae,Deinocheiridae,Theropoda,Reptilia,1,109.9,100.5,Albian,Albian,Cretaceous
Paraxenisaurus normalensis,Paraxenisaurus,Deinocheiridae,Deinocheiridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Tyrannomimus fukuiensis,Tyrannomimus,Deinocheiridae,Deinocheiridae,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Lepidocheirosaurus natatilis,Lepidocheirosaurus,Nqwebasauridae,Nqwebasauridae,Theropoda,Reptilia,1,168.2,145.0,Bathonian,Tithonian,Jurassic
Aepyornithomimus tugrikinensis,Aepyornithomimus,Ornithomimidae,Ornithomimidae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Anserimimus planinychus,Anserimimus,Ornithomimidae,Ornithomimidae,Theropoda,Reptilia,2,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Archaeornithomimus asiaticus,Archaeornithomimus,Ornithomimidae,Ornithomimidae,Theropoda,Reptilia,3,89.8,72.1,Coniacian,Campanian,Cretaceous
Archaeornithomimus bissektensis,Archaeornithomimus,Ornithomimidae,Ornithomimidae,Theropoda,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Dromiceiomimus brevitertius,Dromiceiomimus,Ornithomimidae,Ornithomimidae,Theropoda,Reptilia,5,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Gallimimus bullatus,Gallimimus,Ornithomimidae,Ornithomimidae,Theropoda,Reptilia,14,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Ornithomimus edmontonicus,Ornithomimus,Ornithomimidae,Ornithomimidae,Theropoda,Reptilia,4,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Ornithomimus minutus,Ornithomimus,Ornithomimidae,Ornithomimidae,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Ornithomimus tenuis,Ornithomimus,Ornithomimidae,Ornithomimidae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Ornithomimus velox,Ornithomimus,Ornithomimidae,Ornithomimidae,Theropoda,Reptilia,5,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Qiupalong henanensis,Qiupalong,Ornithomimidae,Ornithomimidae,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Rativates evadens,Rativates,Ornithomimidae,Ornithomimidae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Sinornithomimus dongi,Sinornithomimus,Ornithomimidae,Ornithomimidae,Theropoda,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Struthiomimus altus,Struthiomimus,Ornithomimidae,Ornithomimidae,Theropoda,Reptilia,13,83.6,72.1,Campanian,Campanian,Cretaceous
Tototlmimus packardensis,Tototlmimus,Ornithomimidae,Ornithomimidae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Afromimus tenerensis,Afromimus,Ornithomimosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,113.0,100.5,Albian,Albian,Cretaceous
Arkansaurus fridayi,Arkansaurus,Ornithomimosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,113.0,100.5,Albian,Albian,Cretaceous
Aviatyrannis jurassica,Aviatyrannis,Ornithomimosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,2,154.8,149.2,Kimmeridgian,Kimmeridgian,Jurassic
Beishanlong grandis,Beishanlong,Ornithomimosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Hexing qingyi,Hexing,Ornithomimosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Kinnareemimus khonkaenensis,Kinnareemimus,Ornithomimosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,121.4,Barremian,Barremian,Cretaceous
Nqwebasaurus thwazi,Nqwebasaurus,Ornithomimosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,145.0,132.6,Berriasian,Valanginian,Cretaceous
Pelecanimimus polyodon,Pelecanimimus,Ornithomimosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,121.4,Barremian,Barremian,Cretaceous
Shenzhousaurus orientalis,Shenzhousaurus,Ornithomimosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Enigmosaurus mongoliensis,Enigmosaurus,Therizinosauridae,Therizinosauridae,Theropoda,Reptilia,1,100.5,83.6,Cenomanian,Santonian,Cretaceous
Erliansaurus bellamanus,Erliansaurus,Therizinosauridae,Therizinosauridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Eshanosaurus deguchiianus,Eshanosaurus,Therizinosauridae,Therizinosauridae,Theropoda,Reptilia,1,201.4,199.5,Hettangian,Hettangian,Jurassic
Nanshiungosaurus bohlini,Nanshiungosaurus,Therizinosauridae,Therizinosauridae,Theropoda,Reptilia,1,113.0,109.9,Albian,Albian,Cretaceous
Nanshiungosaurus brevispinus,Nanshiungosaurus,Therizinosauridae,Therizinosauridae,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Neimongosaurus yangi,Neimongosaurus,Therizinosauridae,Therizinosauridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Nothronychus graffami,Nothronychus,Therizinosauridae,Therizinosauridae,Theropoda,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Nothronychus mckinleyi,Nothronychus,Therizinosauridae,Therizinosauridae,Theropoda,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Paralitherizinosaurus japonicus,Paralitherizinosaurus,Therizinosauridae,Therizinosauridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Segnosaurus galbinensis,Segnosaurus,Therizinosauridae,Therizinosauridae,Theropoda,Reptilia,3,100.5,83.6,Cenomanian,Santonian,Cretaceous
Suzhousaurus megatherioides,Suzhousaurus,Therizinosauridae,Therizinosauridae,Theropoda,Reptilia,2,121.4,109.9,Aptian,Albian,Cretaceous
Therizinosaurus cheloniformis,Therizinosaurus,Therizinosauridae,Therizinosauridae,Theropoda,Reptilia,2,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Tiantaisaurus sifengensis,Tiantaisaurus,Therizinosauridae,Therizinosauridae,Theropoda,Reptilia,1,106.2,100.5,Albian,Albian,Cretaceous
Alxasaurus elesitaiensis,Alxasaurus,Therizinosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Beipiaosaurus inexpectus,Beipiaosaurus,Therizinosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Martharaptor greenriverensis,Martharaptor,Therizinosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,139.8,132.6,Valanginian,Valanginian,Cretaceous
Erlikosaurus andrewsi,Erlikosaurus,Therizinosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,100.5,83.6,Cenomanian,Santonian,Cretaceous
Falcarius utahensis,Falcarius,Therizinosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,145.0,132.6,Berriasian,Valanginian,Cretaceous
Fukuivenator paradoxus,Fukuivenator,Therizinosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Jianchangosaurus yixianensis,Jianchangosaurus,Therizinosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Lingyuanosaurus sihedangensis,Lingyuanosaurus,Therizinosauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Aerosteon riocoloradensis,Aerosteon,Megaraptoridae,Megaraptoridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Australovenator wintonensis,Australovenator,Megaraptoridae,Megaraptoridae,Theropoda,Reptilia,4,119.5,89.8,Aptian,Turonian,Cretaceous
Maip macrothorax,Maip,Megaraptoridae,Megaraptoridae,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Megaraptor namunhuaiquii,Megaraptor,Megaraptoridae,Megaraptoridae,Theropoda,Reptilia,3,93.9,86.3,Turonian,Coniacian,Cretaceous
Murusraptor barrosaensis,Murusraptor,Megaraptoridae,Megaraptoridae,Theropoda,Reptilia,1,89.8,86.3,Coniacian,Coniacian,Cretaceous
Orkoraptor burkei,Orkoraptor,Megaraptoridae,Megaraptoridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Tratayenia rosalesi,Tratayenia,Megaraptoridae,Megaraptoridae,Theropoda,Reptilia,1,86.3,83.6,Santonian,Santonian,Cretaceous
Aoniraptor libertatem,Aoniraptor,Megaraptora,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,100.5,89.8,Cenomanian,Turonian,Cretaceous
Phuwiangvenator yaemniyomi,Phuwiangvenator,Megaraptora,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,2,125.77,121.4,Barremian,Barremian,Cretaceous
Siats meekerorum,Siats,Megaraptora,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Vayuraptor nongbualamphuensis,Vayuraptor,Megaraptora,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,121.4,Barremian,Barremian,Cretaceous
Albinykus baatar,Albinykus,Parvicursorinae,Alvarezsauridae,Theropoda,Reptilia,1,86.3,72.1,Santonian,Campanian,Cretaceous
Ceratonykus oculatus,Ceratonykus,Parvicursorinae,Alvarezsauridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Dzharaonyx eski,Dzharaonyx,Parvicursorinae,Alvarezsauridae,Theropoda,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Jaculinykus yaruui,Jaculinykus,Parvicursorinae,Alvarezsauridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Khulsanurus magnificus,Khulsanurus,Parvicursorinae,Alvarezsauridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Linhenykus monodactylus,Linhenykus,Parvicursorinae,Alvarezsauridae,Theropoda,Reptilia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Mononykus olecranus,Mononykus,Parvicursorinae,Alvarezsauridae,Theropoda,Reptilia,2,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Ondogurvel alifanovi,Ondogurvel,Parvicursorinae,Alvarezsauridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Parvicursor remotus,Parvicursor,Parvicursorinae,Alvarezsauridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Shuvuuia deserti,Shuvuuia,Parvicursorinae,Alvarezsauridae,Theropoda,Reptilia,3,83.6,72.1,Campanian,Campanian,Cretaceous
Xixianykus zhangi,Xixianykus,Parvicursorinae,Alvarezsauridae,Theropoda,Reptilia,1,89.8,83.6,Coniacian,Santonian,Cretaceous
Achillesaurus manazzonei,Achillesaurus,Alvarezsauridae,Alvarezsauridae,Theropoda,Reptilia,1,86.3,83.6,Santonian,Santonian,Cretaceous
Albertonykus borealis,Albertonykus,Alvarezsauridae,Alvarezsauridae,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Alnashetri cerropoliciensis,Alnashetri,Alvarezsauridae,Alvarezsauridae,Theropoda,Reptilia,2,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Alvarezsaurus calvoi,Alvarezsaurus,Alvarezsauridae,Alvarezsauridae,Theropoda,Reptilia,1,86.3,83.6,Santonian,Santonian,Cretaceous
Elopteryx nopcsai,Elopteryx,Alvarezsauridae,Alvarezsauridae,Theropoda,Reptilia,3,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Trierarchuncus prairiensis,Trierarchuncus,Alvarezsauridae,Alvarezsauridae,Theropoda,Reptilia,6,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Bannykus wulatensis,Bannykus,Alvarezsauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Bonapartenykus ultimus,Bonapartenykus,Alvarezsauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,2,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Haplocheirus sollers,Haplocheirus,Alvarezsauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,161.5,154.8,Oxfordian,Oxfordian,Jurassic
Nemegtonykus citus,Nemegtonykus,Alvarezsauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Patagonykus puertai,Patagonykus,Alvarezsauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,93.9,86.3,Turonian,Coniacian,Cretaceous
Qiupanykus zhangi,Qiupanykus,Alvarezsauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Tugulusaurus faciles,Tugulusaurus,Alvarezsauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,119.5,100.5,Aptian,Albian,Cretaceous
Xiyunykus pengi,Xiyunykus,Alvarezsauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Aorun zhaoi,Aorun,Alvarezsauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,165.3,161.5,Callovian,Callovian,Jurassic
Shishugounykus inexpectus,Shishugounykus,Alvarezsauria,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,161.5,154.8,Oxfordian,Oxfordian,Jurassic
Guanlong wucaii,Guanlong,Proceratosauridae,Proceratosauridae,Theropoda,Reptilia,1,161.5,154.8,Oxfordian,Oxfordian,Jurassic
Kileskus aristotocus,Kileskus,Proceratosauridae,Proceratosauridae,Theropoda,Reptilia,2,168.2,165.3,Bathonian,Bathonian,Jurassic
Proceratosaurus bradleyi,Proceratosaurus,Proceratosauridae,Proceratosauridae,Theropoda,Reptilia,1,168.2,165.3,Bathonian,Bathonian,Jurassic
Sinotyrannus kazuoensis,Sinotyrannus,Proceratosauridae,Proceratosauridae,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Yutyrannus huali,Yutyrannus,Proceratosauridae,Proceratosauridae,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Daspletosaurus horneri,Daspletosaurus,Daspletosaurini,Tyrannosauridae,Theropoda,Reptilia,4,83.6,72.1,Campanian,Campanian,Cretaceous
Daspletosaurus torosus,Daspletosaurus,Daspletosaurini,Tyrannosauridae,Theropoda,Reptilia,6,83.6,72.1,Campanian,Campanian,Cretaceous
Daspletosaurus wilsoni,Daspletosaurus,Daspletosaurini,Tyrannosauridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Thanatotheristes degrootorum,Thanatotheristes,Daspletosaurini,Tyrannosauridae,Theropoda,Reptilia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Alioramus remotus,Alioramus,Tyrannosaurinae,Tyrannosauridae,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Alioramus sinensis,Alioramus,Tyrannosaurinae,Tyrannosauridae,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Asiatyrannus xui,Asiatyrannus,Tyrannosaurinae,Tyrannosauridae,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Dynamoterror dynastes,Dynamoterror,Tyrannosaurinae,Tyrannosauridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Lythronax argestes,Lythronax,Tyrannosaurinae,Tyrannosauridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Nanuqsaurus hoglundi,Nanuqsaurus,Tyrannosaurinae,Tyrannosauridae,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Teratophoneus curriei,Teratophoneus,Tyrannosaurinae,Tyrannosauridae,Theropoda,Reptilia,3,83.6,72.1,Campanian,Campanian,Cretaceous
Tyrannosaurus mcraeensis,Tyrannosaurus,Tyrannosaurinae,Tyrannosauridae,Theropoda,Reptilia,1,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Tyrannosaurus rex,Tyrannosaurus,Tyrannosaurinae,Tyrannosauridae,Theropoda,Reptilia,59,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Zhuchengtyrannus magnus,Zhuchengtyrannus,Tyrannosaurinae,Tyrannosauridae,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Albertosaurus sarcophagus,Albertosaurus,Tyrannosauridae,Tyrannosauridae,Theropoda,Reptilia,14,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Gorgosaurus libratus,Gorgosaurus,Tyrannosauridae,Tyrannosauridae,Theropoda,Reptilia,11,83.6,72.1,Campanian,Campanian,Cretaceous
Tarbosaurus bataar,Tarbosaurus,Tyrannosauridae,Tyrannosauridae,Theropoda,Reptilia,21,89.8,66.0,Coniacian,Maastrichtian,Cretaceous
Yezosaurus mikasaensis,Yezosaurus,Tyrannosauridae,Tyrannosauridae,Theropoda,Reptilia,1,86.3,72.1,Santonian,Campanian,Cretaceous
Alectrosaurus olseni,Alectrosaurus,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Appalachiosaurus montgomeriensis,Appalachiosaurus,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,6,86.3,66.0,Santonian,Maastrichtian,Cretaceous
Bagaraatan ostromi,Bagaraatan,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Bistahieversor sealeyi,Bistahieversor,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,4,83.6,72.1,Campanian,Campanian,Cretaceous
Calamosaurus foxi,Calamosaurus,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Dilong paradoxus,Dilong,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Dryptosaurus aquilunguis,Dryptosaurus,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,2,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Eotyrannus lengi,Eotyrannus,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,132.6,121.4,Hauterivian,Barremian,Cretaceous
Gualicho shinyae,Gualicho,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,100.5,89.8,Cenomanian,Turonian,Cretaceous
Jinbeisaurus wangi,Jinbeisaurus,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,100.5,72.1,Cenomanian,Campanian,Cretaceous
Juratyrant langhami,Juratyrant,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,146.3,145.0,Tithonian,Tithonian,Jurassic
Labocania anomala,Labocania,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,86.3,72.1,Santonian,Campanian,Cretaceous
Moros intrepidus,Moros,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Raptorex kriegsteini,Raptorex,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,66.0,Barremian,Maastrichtian,Cretaceous
Santanaraptor placidus,Santanaraptor,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Stokesosaurus clevelandi,Stokesosaurus,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,3,154.8,145.0,Kimmeridgian,Tithonian,Jurassic
Suskityrannus hazelae,Suskityrannus,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Teihivenator macropus,Teihivenator,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Timimus hermani,Timimus,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,113.0,109.9,Albian,Albian,Cretaceous
Timurlengia euotica,Timurlengia,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Xiongguanlong baimoensis,Xiongguanlong,Tyrannosauroidea,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Aniksosaurus darwini,Aniksosaurus,Compsognathidae,Compsognathidae,Theropoda,Reptilia,1,100.5,89.8,Cenomanian,Turonian,Cretaceous
Aristosuchus pusillus,Aristosuchus,Compsognathidae,Compsognathidae,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Compsognathus longipes,Compsognathus,Compsognathidae,Compsognathidae,Theropoda,Reptilia,2,154.8,146.3,Kimmeridgian,Tithonian,Jurassic
Huaxiagnathus orientalis,Huaxiagnathus,Compsognathidae,Compsognathidae,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Mirischia asymmetrica,Mirischia,Compsognathidae,Compsognathidae,Theropoda,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Ornitholestes hermanni,Ornitholestes,Compsognathidae,Compsognathidae,Theropoda,Reptilia,2,154.8,145.0,Kimmeridgian,Tithonian,Jurassic
Scipionyx samniticus,Scipionyx,Compsognathidae,Compsognathidae,Theropoda,Reptilia,1,113.0,109.9,Albian,Albian,Cretaceous
Sinocalliopteryx gigas,Sinocalliopteryx,Compsognathidae,Compsognathidae,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
