Name,Genus,Parent Taxon,Family,Order,Class,Number of Occurrences,Max First Appearance (MYA),Min Last Appearance (MYA),Early Interval,Late Interval,Era
Ornithodesmus cluniculus,Ornithodesmus,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,125.77,121.4,Barremian,Barremian,Cretaceous
Piksi barbarulna,Piksi,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Dawndraco kanzai,Dawndraco,Pteranodontidae,Pteranodontidae,Pterosauria,Reptilia,1,89.8,83.6,Coniacian,Santonian,Cretaceous
Geosternbergia maiseyi,Geosternbergia,Pteranodontidae,Pteranodontidae,Pterosauria,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Santanadactylus brasilensis,Santanadactylus,Pteranodontidae,Pteranodontidae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Santanadactylus spixi,Santanadactylus,Pteranodontidae,Pteranodontidae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Tethydraco regalis,Tethydraco,Pteranodontidae,Pteranodontidae,Pterosauria,Reptilia,2,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Volgadraco bogolubovi,Volgadraco,Pteranodontidae,Pteranodontidae,Pterosauria,Reptilia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Alamodactylus byrdi,Alamodactylus,Pteranodontia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,89.8,86.3,Coniacian,Coniacian,Cretaceous
Pteranodon longiceps,Pteranodon,Pteranodontia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,21,86.3,72.1,Santonian,Campanian,Cretaceous
Pteranodon sternbergi,Pteranodon,Pteranodontia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,89.8,83.6,Coniacian,Santonian,Cretaceous
Moganopterus zhuiana,Moganopterus,Moganopterinae,Boreopteridae,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Boreopterus cuiae,Boreopterus,Boreopteridae,Boreopteridae,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Boreopterus giganticus,Boreopterus,Boreopteridae,Boreopteridae,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Zhenyuanopterus longirostris,Zhenyuanopterus,Boreopteridae,Boreopteridae,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Jidapterus edentus,Jidapterus,Chaoyangopterinae,Tapejaridae,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Aymberedactylus cearensis,Aymberedactylus,Tapejarinae,Tapejaridae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Caiuajara dobruskii,Caiuajara,Tapejarinae,Tapejaridae,Pterosauria,Reptilia,1,121.4,72.1,Aptian,Campanian,Cretaceous
Caupedactylus ybaka,Caupedactylus,Tapejarinae,Tapejaridae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Kariridraco dianae,Kariridraco,Thalassodrominae,Tapejaridae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Afrotapejara zouhri,Afrotapejara,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,2,106.2,93.9,Albian,Cenomanian,Cretaceous
Huaxiapterus benxiensis,Huaxiapterus,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Huaxiapterus corollatus,Huaxiapterus,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Huaxiapterus jii,Huaxiapterus,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Sinopterus dongi,Sinopterus,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,2,121.4,113.0,Aptian,Aptian,Cretaceous
Sinopterus gui,Sinopterus,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Tapejara wellnhoferi,Tapejara,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Tupandactylus imperator,Tupandactylus,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,2,119.5,113.0,Aptian,Aptian,Cretaceous
Tupandactylus navigans,Tupandactylus,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Wightia declivirostris,Wightia,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,1,125.77,121.4,Barremian,Barremian,Cretaceous
Thalassodromeus sethi,Thalassodromeus,Thalassodromidae,Thalassodromidae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Tupuxuara deliradamus,Tupuxuara,Thalassodromidae,Thalassodromidae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Tupuxuara leonardii,Tupuxuara,Thalassodromidae,Thalassodromidae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Tupuxuara longicristatus,Tupuxuara,Thalassodromidae,Thalassodromidae,Pterosauria,Reptilia,2,119.5,113.0,Aptian,Aptian,Cretaceous
Apatorhamphus gyrostega,Apatorhamphus,Chaoyangopteridae,Chaoyangopteridae,Pterosauria,Reptilia,2,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Lacusovagus magnificens,Lacusovagus,Chaoyangopteridae,Chaoyangopteridae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
